Name, Time, Spec Size, Num Procs, Code Size, Num Statements, Goals generated, Rules applied, Max Worklist Size
dealloc/sll, 148, 2, 1, 11, 4, 16, 17, 1, 
dealloc/dlseg, 164, 5, 1, 12, 4, 22, 23, 1, 
dealloc/bst, 188, 2, 1, 16, 6, 27, 27, 2, 
dealloc/multilist, 277, 2, 2, 32, 11, 49, 46, 8, maxOpenDepth = 2

copy/lseg, 808, 15, 1, 30, 10, 281, 242, 27, 
copy/tree, 3325, 12, 1, 42, 14, 1314, 1123, 162, 
copy/balanced, 1872, 12, 1, 36, 12, 1019, 833, 162, 


size/sll_len, 391, 10, 1, 21, 6, 125, 110, 14, 
size/height, 643, 10, 1, 35, 9, 197, 178, 19, 

basic/sll_to_dlseg, 396, 13, 1, 32, 11, 78, 74, 7, 
basic/dlsrtl_to_sll, 425, 11, 1, 34, 12, 81, 77, 6, 
basic/dll_to_bst, 42823, 11, 2, 165, 51, 7446, 6570, 339, maxCloseDepth = 2, branchAbduction = true
basic/btree_to_bktree, 11796, 11, 1, 150, 52, 5372, 4704, 39, maxCloseDepth = 2


operations/multi_flatten_sll, 876, 10, 2, 50, 16, 298, 269, 22, maxOpenDepth = 2
operations/btree_flattern_dll, 7126, 5, 2, 48, 15, 3293, 3024, 36, maxCloseDepth = 2
operations/bst_flatten_srtl, 10329, 10, 3, 116, 32, 4677, 4085, 43, maxCloseDepth = 2
operations/dll_sort, 930, 6, 2, 44, 13, 278, 254, 14, maxCloseDepth = 2, branchAbduction = true

